username,repo_name,stars,repo_url
localstack,localstack,44800,https://github.com/localstack/localstack
serverless,serverless,43800,https://github.com/serverless/serverless
bregman-arie,devops-exercises,33500,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,24200,https://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,14200,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,13200,https://github.com/ramitsurana/awesome-kubernetes
kubernetes-sigs,kubespray,13100,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,13100,https://github.com/aws/aws-cli
mozilla,sops,11300,https://github.com/mozilla/sops
donnemartin,awesome-aws,10900,https://github.com/donnemartin/awesome-aws
apereo,cas,9800,https://github.com/apereo/cas
serverless-stack,sst,9700,https://github.com/serverless-stack/sst
caprover,caprover,9500,https://github.com/caprover/caprover
aws,aws-cdk,9500,https://github.com/aws/aws-cdk
aws,chalice,9300,https://github.com/aws/chalice
aws-amplify,amplify-js,9000,https://github.com/aws-amplify/amplify-js
GoogleCloudPlatform,terraformer,9000,https://github.com/GoogleCloudPlatform/terraformer
angristan,openvpn-install,9000,https://github.com/angristan/openvpn-install
aws,serverless-application-model,8800,https://github.com/aws/serverless-application-model
google,go-cloud,8700,https://github.com/google/go-cloud
