username,repo_name,stars,repo_url
sindresorhus,awesome,226000,https://github.com/sindresorhus/awesome
vinta,awesome-python,147000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,108000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,90700,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,82200,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,65700,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,61400,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,58100,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,55100,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,51300,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,47900,https://github.com/sindresorhus/awesome-nodejs
MunGell,awesome-for-beginners,45600,https://github.com/MunGell/awesome-for-beginners
wasabeef,awesome-android-ui,44500,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,43900,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,43800,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,41800,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,41700,https://github.com/fffaraz/awesome-cpp
vsouza,awesome-ios,41100,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,37800,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,35800,https://github.com/dypsilon/frontend-dev-bookmarks
