username,repo_name,stars,repo_url
bregman-arie,devops-exercises,33500,https://github.com/bregman-arie/devops-exercises
microsoft,recommenders,14500,https://github.com/microsoft/recommenders
pulumi,pulumi,14200,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,13200,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,12300,https://github.com/Azure/azure-quickstart-templates
mozilla,sops,11300,https://github.com/mozilla/sops
caprover,caprover,9500,https://github.com/caprover/caprover
microsoft,computervision-recipes,8700,https://github.com/microsoft/computervision-recipes
google,go-cloud,8700,https://github.com/google/go-cloud
infracost,infracost,8200,https://github.com/infracost/infracost
microsoft,azuredatastudio,7000,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6400,https://github.com/node-formidable/formidable
midwayjs,midway,6200,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,5600,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,5300,https://github.com/aquasecurity/tfsec
budtmo,docker-android,5100,https://github.com/budtmo/docker-android
bridgecrewio,checkov,4900,https://github.com/bridgecrewio/checkov
nccgroup,ScoutSuite,4900,https://github.com/nccgroup/ScoutSuite
cloud-custodian,cloud-custodian,4500,https://github.com/cloud-custodian/cloud-custodian
Azure,azure-sdk-for-net,4100,https://github.com/Azure/azure-sdk-for-net
