username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,116000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,62400,https://github.com/nvm-sh/nvm
junegunn,fzf,48200,https://github.com/junegunn/fzf
google,zx,35000,https://github.com/google/zx
dylanaraps,pure-bash-bible,32500,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,31300,https://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,30500,https://github.com/koalaman/shellcheck
starship,starship,30400,https://github.com/starship/starship
acmesh-official,acme.sh,29200,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,28500,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,25500,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,21700,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,20600,https://github.com/withfig/autocomplete
dylanaraps,neofetch,16600,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,16100,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14600,https://github.com/rbenv/rbenv
powerline,powerline,13600,https://github.com/powerline/powerline
shelljs,shelljs,13600,https://github.com/shelljs/shelljs
Bash-it,bash-it,13300,https://github.com/Bash-it/bash-it
faressoft,terminalizer,13100,https://github.com/faressoft/terminalizer
